Baseline 100%T,,18-11-03ReyndsYbPerov,,20-03-10ReesPerov,,20-03-10ReesYbPerovA,,20-03-10ReesYbPerovB,,20-03-10ReesYbPerovC,,20-03-12ReesYbPerovA,,20-03-12ReesYbPerovB,,20-03-12ReesYbPerovReyndsPbCl2A,,20-03-12ReesYbPerovReyndsPbCl2B,,20-03-12ReesYbPerovReyndsPbCl2C,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
450,0.124478594,450,0.197012961,450,0.095723659,450,0.065932579,450,0.120574072,450,0.130885929,450,0.119394571,450,0.162018776,450,0.100533716,450,0.109544359,450,0.149542272
449.6669922,0.124442287,449.6669922,0.197373912,449.6669922,0.095921867,449.6669922,0.065856896,449.6669922,0.120606534,449.6669922,0.131118745,449.6669922,0.119555175,449.6669922,0.162178859,449.6669922,0.100761458,449.6669922,0.109687962,449.6669922,0.149686769
449.3340149,0.124347523,449.3340149,0.197893873,449.3340149,0.096195787,449.3340149,0.066143356,449.3340149,0.120677792,449.3340149,0.131240606,449.3340149,0.119662158,449.3340149,0.162413731,449.3340149,0.101038478,449.3340149,0.110002622,449.3340149,0.150073186
449.0010071,0.124395371,449.0010071,0.198033497,449.0010071,0.096158795,449.0010071,0.066027917,449.0010071,0.12046539,449.0010071,0.131430417,449.0010071,0.11963287,449.0010071,0.162486047,449.0010071,0.100874655,449.0010071,0.10994713,449.0010071,0.150173321
448.6679993,0.124294445,448.6679993,0.198525414,448.6679993,0.096558556,448.6679993,0.066046573,448.6679993,0.120802932,448.6679993,0.131588027,448.6679993,0.119908415,448.6679993,0.162756518,448.6679993,0.101310059,448.6679993,0.110286705,448.6679993,0.150424779
448.3349915,0.124081828,448.3349915,0.199045166,448.3349915,0.096997999,448.3349915,0.066235036,448.3349915,0.120867588,448.3349915,0.131865263,448.3349915,0.12012402,448.3349915,0.162894353,448.3349915,0.101530127,448.3349915,0.110565029,448.3349915,0.150817454
448.0020142,0.12414135,448.0020142,0.19914043,448.0020142,0.097031623,448.0020142,0.066029005,448.0020142,0.120891452,448.0020142,0.132019848,448.0020142,0.120109171,448.0020142,0.163090751,448.0020142,0.101466656,448.0020142,0.110604599,448.0020142,0.15092741
447.6690063,0.123921782,447.6690063,0.199773163,447.6690063,0.097512789,447.6690063,0.066151224,447.6690063,0.121235855,447.6690063,0.132341072,447.6690063,0.120536894,447.6690063,0.16335018,447.6690063,0.101916269,447.6690063,0.110969916,447.6690063,0.15134868
447.3359985,0.123679675,447.3359985,0.200265914,447.3359985,0.097871214,447.3359985,0.066551737,447.3359985,0.121498175,447.3359985,0.13275592,447.3359985,0.120806657,447.3359985,0.163681552,447.3359985,0.102109075,447.3359985,0.111416727,447.3359985,0.151741982
447.0029907,0.123660028,447.0029907,0.200547829,447.0029907,0.098142408,447.0029907,0.066518754,447.0029907,0.121802524,447.0029907,0.132938251,447.0029907,0.121096157,447.0029907,0.164031908,447.0029907,0.10231854,447.0029907,0.111440718,447.0029907,0.151963592
446.6700134,0.123483695,446.6700134,0.201183617,446.6700134,0.098596253,446.6700134,0.066806979,446.6700134,0.122201532,446.6700134,0.133295611,446.6700134,0.121423706,446.6700134,0.16418992,446.6700134,0.102746666,446.6700134,0.11183092,446.6700134,0.152260691
446.3370056,0.123251386,446.3370056,0.201639384,446.3370056,0.098952383,446.3370056,0.067180142,446.3370056,0.122247122,446.3370056,0.133612752,446.3370056,0.121704228,446.3370056,0.164616689,446.3370056,0.103031553,446.3370056,0.112267591,446.3370056,0.152837992
446.0039978,0.123205803,446.0039978,0.20182614,446.0039978,0.09926378,446.0039978,0.067239642,446.0039978,0.122567542,446.0039978,0.133959636,446.0039978,0.121880561,446.0039978,0.164835855,446.0039978,0.103241503,446.0039978,0.11242082,446.0039978,0.153004602
445.67099,0.122987561,445.67099,0.202334836,445.67099,0.099681415,445.67099,0.067576617,445.67099,0.122715727,445.67099,0.134289324,445.67099,0.122254252,445.67099,0.165220201,445.67099,0.103650726,445.67099,0.112707093,445.67099,0.15341787
445.3380127,0.122862816,445.3380127,0.202721089,445.3380127,0.09991923,445.3380127,0.067773521,445.3380127,0.122732721,445.3380127,0.134473026,445.3380127,0.12257719,445.3380127,0.165593371,445.3380127,0.103941336,445.3380127,0.113034487,445.3380127,0.153703734
445.0050049,0.122866012,445.0050049,0.202931762,445.0050049,0.100057662,445.0050049,0.06776765,445.0050049,0.122915134,445.0050049,0.134570912,445.0050049,0.122600086,445.0050049,0.165724382,445.0050049,0.104069769,445.0050049,0.11299926,445.0050049,0.153895915
444.6719971,0.12286114,444.6719971,0.203167349,444.6719971,0.100305148,444.6719971,0.067724019,444.6719971,0.122690417,444.6719971,0.134663373,444.6719971,0.122729078,444.6719971,0.165857777,444.6719971,0.104321361,444.6719971,0.113273718,444.6719971,0.153976575
444.3389893,0.122736357,444.3389893,0.203505367,444.3389893,0.10053274,444.3389893,0.067843206,444.3389893,0.122946642,444.3389893,0.134987295,444.3389893,0.12298502,444.3389893,0.166086152,444.3389893,0.104444906,444.3389893,0.113581099,444.3389893,0.154261693
444.006012,0.122756176,444.006012,0.20378533,444.006012,0.100716732,444.006012,0.067738995,444.006012,0.123053782,444.006012,0.135079861,444.006012,0.12306869,444.006012,0.166233331,444.006012,0.104517445,444.006012,0.113407403,444.006012,0.154425666
443.6730042,0.122776337,443.6730042,0.204092354,443.6730042,0.100802593,443.6730042,0.067584902,443.6730042,0.122974984,443.6730042,0.135320664,443.6730042,0.123167299,443.6730042,0.166232407,443.6730042,0.10472627,443.6730042,0.113738686,443.6730042,0.154486924
443.3399963,0.122936577,443.3399963,0.204154655,443.3399963,0.100706548,443.3399963,0.067424059,443.3399963,0.123114161,443.3399963,0.135251954,443.3399963,0.123085119,443.3399963,0.166148797,443.3399963,0.104536146,443.3399963,0.113710336,443.3399963,0.154508084
443.0069885,0.122977085,443.0069885,0.204565495,443.0069885,0.10084556,443.0069885,0.067311943,443.0069885,0.123078317,443.0069885,0.135426402,443.0069885,0.12304797,443.0069885,0.166284084,443.0069885,0.104614429,443.0069885,0.113660052,443.0069885,0.154584169
442.6740112,0.122957192,442.6740112,0.205017179,442.6740112,0.101163872,442.6740112,0.067353107,442.6740112,0.123162799,442.6740112,0.13569811,442.6740112,0.123272255,442.6740112,0.166248739,442.6740112,0.104821421,442.6740112,0.114023477,442.6740112,0.154786646
442.3410034,0.12325909,442.3410034,0.20505856,442.3410034,0.10092514,442.3410034,0.067349479,442.3410034,0.123121381,442.3410034,0.135588661,442.3410034,0.123028725,442.3410034,0.166176125,442.3410034,0.104525253,442.3410034,0.113754831,442.3410034,0.154754922
442.0079956,0.123338245,442.0079956,0.205450073,442.0079956,0.100961037,442.0079956,0.067212626,442.0079956,0.122984849,442.0079956,0.135627776,442.0079956,0.123028971,442.0079956,0.166370183,442.0079956,0.104585052,442.0079956,0.113843918,442.0079956,0.154740542
441.6749878,0.123446748,441.6749878,0.20579049,441.6749878,0.101029433,441.6749878,0.067281865,441.6749878,0.122905448,441.6749878,0.135624096,441.6749878,0.123113133,441.6749878,0.166277245,441.6749878,0.104601324,441.6749878,0.113946103,441.6749878,0.154639348
441.3420105,0.123580851,441.3420105,0.205951184,441.3420105,0.101046547,441.3420105,0.067199029,441.3420105,0.122747935,441.3420105,0.13553825,441.3420105,0.122905761,441.3420105,0.166419312,441.3420105,0.104624875,441.3420105,0.1139246,441.3420105,0.154746711
441.0090027,0.123739906,441.0090027,0.206220985,441.0090027,0.101012968,441.0090027,0.066981092,441.0090027,0.122615188,441.0090027,0.135429263,441.0090027,0.122938462,441.0090027,0.166424438,441.0090027,0.104593121,441.0090027,0.113789953,441.0090027,0.154643148
440.6759949,0.123682946,440.6759949,0.206601515,440.6759949,0.101305872,440.6759949,0.067057908,440.6759949,0.122571871,440.6759949,0.135787875,440.6759949,0.123098455,440.6759949,0.166563109,440.6759949,0.104917228,440.6759949,0.1140806,440.6759949,0.154869422
