Created as New Dataset,
nm,A
800.0,0.0057
799.0,0.0059
798.0,0.0057
797.0,0.0057
796.0,0.0053
795.0,0.0053
794.0,0.0056
793.0,0.0055
792.0,0.0057
791.0,0.0055
790.0,0.0054
789.0,0.0056
788.0,0.0055
787.0,0.0055
786.0,0.0056
785.0,0.0055
784.0,0.0057
783.0,0.0054
782.0,0.0056
781.0,0.0056
780.0,0.0054
779.0,0.0056
778.0,0.0051
777.0,0.0054
776.0,0.0054
775.0,0.0054
774.0,0.0053
773.0,0.0055
772.0,0.0054
771.0,0.0052
770.0,0.0054
769.0,0.0054
768.0,0.0054
767.0,0.0052
766.0,0.0052
765.0,0.0053
764.0,0.0053
763.0,0.0053
762.0,0.0053
761.0,0.0051
760.0,0.0053
759.0,0.0054
758.0,0.0054
757.0,0.0049
756.0,0.0051
755.0,0.0051
754.0,0.0048
753.0,0.0051
752.0,0.0052
751.0,0.0052
750.0,0.0051
749.0,0.0050
748.0,0.0050
747.0,0.0050
746.0,0.0052
745.0,0.0054
744.0,0.0050
743.0,0.0050
742.0,0.0053
741.0,0.0053
740.0,0.0052
739.0,0.0049
738.0,0.0050
737.0,0.0051
736.0,0.0049
735.0,0.0049
734.0,0.0049
733.0,0.0051
732.0,0.0047
731.0,0.0047
730.0,0.0049
729.0,0.0049
728.0,0.0046
727.0,0.0045
726.0,0.0048
725.0,0.0047
724.0,0.0046
723.0,0.0046
722.0,0.0044
721.0,0.0045
720.0,0.0046
719.0,0.0043
718.0,0.0044
717.0,0.0045
716.0,0.0045
715.0,0.0042
714.0,0.0042
713.0,0.0042
712.0,0.0040
711.0,0.0042
710.0,0.0043
709.0,0.0044
708.0,0.0043
707.0,0.0042
706.0,0.0043
705.0,0.0045
704.0,0.0043
703.0,0.0041
702.0,0.0043
701.0,0.0042
700.0,0.0042
699.0,0.0043
698.0,0.0042
697.0,0.0041
696.0,0.0043
695.0,0.0041
694.0,0.0042
693.0,0.0043
692.0,0.0043
691.0,0.0041
690.0,0.0039
689.0,0.0039
688.0,0.0040
687.0,0.0038
686.0,0.0037
685.0,0.0038
684.0,0.0038
683.0,0.0038
682.0,0.0039
681.0,0.0039
680.0,0.0038
679.0,0.0037
678.0,0.0039
677.0,0.0039
676.0,0.0037
675.0,0.0037
674.0,0.0039
673.0,0.0038
672.0,0.0037
671.0,0.0039
670.0,0.0039
669.0,0.0039
668.0,0.0038
667.0,0.0037
666.0,0.0037
665.0,0.0037
664.0,0.0038
663.0,0.0038
662.0,0.0038
661.0,0.0037
660.0,0.0037
659.0,0.0038
658.0,0.0037
657.0,0.0036
656.0,0.0037
655.0,0.0036
654.0,0.0036
653.0,0.0037
652.0,0.0036
651.0,0.0037
650.0,0.0038
649.0,0.0038
648.0,0.0037
647.0,0.0036
646.0,0.0036
645.0,0.0036
644.0,0.0035
643.0,0.0035
642.0,0.0035
641.0,0.0037
640.0,0.0038
639.0,0.0037
638.0,0.0036
637.0,0.0039
636.0,0.0041
635.0,0.0039
634.0,0.0038
633.0,0.0037
632.0,0.0038
631.0,0.0039
630.0,0.0040
629.0,0.0041
628.0,0.0041
627.0,0.0044
626.0,0.0046
625.0,0.0049
624.0,0.0051
623.0,0.0053
622.0,0.0057
621.0,0.0059
620.0,0.0063
619.0,0.0070
618.0,0.0076
617.0,0.0081
616.0,0.0089
615.0,0.0098
614.0,0.0109
613.0,0.0121
612.0,0.0132
611.0,0.0142
610.0,0.0156
609.0,0.0170
608.0,0.0184
607.0,0.0197
606.0,0.0212
605.0,0.0226
604.0,0.0240
603.0,0.0252
602.0,0.0264
601.0,0.0274
600.0,0.0284
599.0,0.0293
598.0,0.0301
597.0,0.0308
596.0,0.0315
595.0,0.0320
594.0,0.0322
593.0,0.0322
592.0,0.0323
591.0,0.0324
590.0,0.0322
589.0,0.0319
588.0,0.0316
587.0,0.0312
586.0,0.0309
585.0,0.0302
584.0,0.0294
583.0,0.0287
582.0,0.0280
581.0,0.0274
580.0,0.0267
579.0,0.0259
578.0,0.0252
577.0,0.0245
576.0,0.0241
575.0,0.0235
574.0,0.0228
573.0,0.0223
572.0,0.0220
571.0,0.0218
570.0,0.0215
569.0,0.0216
568.0,0.0217
567.0,0.0218
566.0,0.0221
565.0,0.0226
564.0,0.0230
