Data from FLMS031491_15-43-31-366.txt Node	
	
Date: Sun Nov 07 15:43:31 EST 2021	
User: Student	
Spectrometer: FLMS03149	
Trigger mode: 0	
Integration Time (sec): 5.000000E-1	
Scans to average: 1	
Electric dark correction enabled: true	
Nonlinearity correction enabled: false	
Boxcar width: 0	
XAxis mode: Wavelengths	
Number of Pixels in Spectrum: 2048	
>>>>>Begin Spectral Data<<<<<	
338.754	1127.41
339.138	1127.41
339.521	1127.41
339.905	1050.18
340.288	1087.63
340.671	1089.97
341.055	1160.18
341.438	1174.23
341.821	1136.78
342.204	1155.5
342.587	1202.31
342.97	1218.7
343.353	1249.12
343.736	1281.89
344.119	1295.93
344.502	1258.48
344.885	1244.44
345.268	1403.6
345.65	1288.91
346.033	1398.92
346.416	1441.05
346.798	1429.34
347.181	1443.39
347.563	1494.88
347.946	1497.22
348.328	1462.11
348.71	1527.65
349.093	1576.8
349.475	1504.24
349.857	1574.46
350.239	1567.44
350.621	1562.75
351.003	1558.07
351.385	1593.18
351.767	1642.33
352.149	1562.75
352.531	1602.54
352.913	1529.99
353.295	1604.88
353.676	1628.29
354.058	1597.86
354.44	1581.48
354.821	1586.16
355.203	1595.52
355.584	1602.54
355.966	1639.99
356.347	1555.73
356.729	1642.33
357.11	1553.39
357.491	1544.03
357.873	1515.94
358.254	1604.88
358.635	1483.18
359.016	1508.92
359.397	1621.27
359.778	1546.37
360.159	1534.67
360.54	1544.03
360.921	1483.18
361.301	1567.44
361.682	1572.12
362.063	1532.33
362.444	1541.69
362.824	1544.03
363.205	1525.31
363.585	1513.6
363.966	1494.88
364.346	1508.92
364.727	1546.37
365.107	1639.99
365.487	1541.69
365.867	1616.59
366.248	1534.67
366.628	1572.12
367.008	1572.12
367.388	1635.31
367.768	1546.37
368.148	1518.28
368.528	1513.6
368.908	1551.05
369.288	1537.01
369.667	1553.39
370.047	1464.45
370.427	1579.14
370.806	1532.33
371.186	1642.33
371.566	1527.65
371.945	1492.54
372.325	1518.28
372.704	1588.5
373.083	1562.75
373.463	1609.56
373.842	1572.12
374.221	1600.2
374.6	1551.05
374.979	1527.65
375.358	1546.37
375.737	1508.92
376.116	1672.76
376.495	1569.78
376.874	1558.07
377.253	1553.39
377.632	1604.88
378.011	1527.65
378.389	1513.6
378.768	1637.65
379.147	1555.73
379.525	1595.52
379.904	1562.75
380.282	1551.05
380.661	1565.09
381.039	1515.94
381.417	1497.22
381.796	1494.88
382.174	1518.28
382.552	1539.35
382.93	1574.46
383.308	1560.41
383.686	1522.96
384.064	1544.03
384.442	1581.48
384.82	1553.39
385.198	1565.09
385.576	1574.46
385.954	1560.41
386.331	1621.27
386.709	1555.73
387.087	1628.29
387.464	1539.35
387.842	1560.41
388.219	1586.16
388.597	1553.39
388.974	1583.82
389.351	1595.52
389.729	1658.72
390.106	1609.56
390.483	1579.14
390.86	1609.56
391.237	1581.48
391.614	1553.39
391.991	1560.41
392.368	1579.14
392.745	1574.46
393.122	1611.91
393.499	1579.14
393.876	1532.33
394.253	1611.91
394.629	1567.44
395.006	1539.35
395.382	1555.73
395.759	1527.65
396.135	1562.75
396.512	1525.31
396.888	1581.48
397.265	1562.75
397.641	1604.88
398.017	1682.12
398.393	1569.78
398.77	1551.05
399.146	1588.5
399.522	1595.52
399.898	1593.18
400.274	1527.65
400.65	1668.08
401.026	1597.86
401.401	1572.12
401.777	1548.71
402.153	1609.56
402.529	1567.44
402.904	1616.59
403.28	1625.95
403.655	1623.61
404.031	1527.65
404.406	1544.03
404.782	1448.07
405.157	1654.03
405.532	1586.16
405.908	1572.12
406.283	1639.99
406.658	1630.63
407.033	1551.05
407.408	1586.16
407.783	1597.86
408.158	1534.67
408.533	1675.1
408.908	1546.37
409.283	1590.84
409.658	1513.6
410.033	1593.18
410.407	1649.35
410.782	1609.56
411.157	1551.05
411.531	1696.16
411.906	1651.69
412.28	1572.12
412.654	1537.01
413.029	1635.31
413.403	1572.12
413.777	1590.84
414.152	1621.27
414.526	1590.84
414.9	1593.18
415.274	1621.27
415.648	1537.01
416.022	1609.56
416.396	1621.27
416.77	1637.65
417.144	1572.12
417.518	1595.52
417.891	1565.09
418.265	1698.51
418.639	1569.78
419.012	1537.01
419.386	1768.72
419.759	1586.16
420.133	1647.01
420.506	1574.46
420.88	1586.16
421.253	1588.5
421.626	1548.71
421.999	1588.5
422.373	1665.74
422.746	1707.87
423.119	1588.5
423.492	1520.62
423.865	1625.95
424.238	1625.95
424.611	1670.42
424.984	1616.59
425.356	1632.97
425.729	1537.01
426.102	1644.67
426.474	1675.1
426.847	1682.12
427.22	1689.14
427.592	1740.63
427.965	1663.4
428.337	1663.4
428.709	1700.85
429.082	1679.78
429.454	1639.99
429.826	1686.8
430.198	1747.66
430.571	1668.08
430.943	1698.51
431.315	1717.23
431.687	1871.7
432.059	1775.74
432.431	1707.87
432.802	1764.04
433.174	1745.32
433.546	1691.48
433.918	1799.15
434.289	1745.32
434.661	1806.17
435.032	1824.89
435.404	1897.45
435.775	1876.39
436.147	2007.46
436.518	1934.9
436.89	1920.86
437.261	2009.8
437.632	1993.41
438.003	1937.24
438.374	2009.8
438.745	2157.25
439.116	2061.29
439.487	2131.5
439.858	2206.4
440.229	2309.38
440.6	2204.06
440.971	2274.28
441.342	2337.47
441.712	2412.37
442.083	2641.74
442.454	2475.56
442.824	2594.93
443.195	2655.78
443.565	2852.39
443.936	2864.09
444.306	2873.45
444.676	3037.29
445.047	2960.05
445.417	3170.7
445.787	3212.83
446.157	3357.94
446.527	3505.4
446.897	3884.57
447.267	3657.53
447.637	3917.33
448.007	3985.21
448.377	4212.24
448.747	4453.32
449.116	4617.15
449.486	4675.67
449.856	4977.6
450.225	5436.34
450.595	6241.48
450.964	6655.76
451.334	7151.95
451.703	7130.89
452.073	7299.41
452.442	7332.17
452.811	7945.39
453.18	8291.79
453.55	8555.075684
453.919	8817.649784
454.288	9080.223885
454.657	9342.797986
455.026	9605.372087
455.395	9867.946188
455.764	10130.52029
456.132	10392.38281
456.501	10654.95691
456.87	10917.53101
457.239	11180.10511
457.607	11441.96763
457.976	11704.54173
458.344	11966.40424
458.713	12228.97835
459.081	12490.84086
459.45	12753.41496
459.818	13015.27748
460.186	13277.14
460.555	13693.75
460.923	13597.79
461.291	13644.6
461.659	13906.74
462.027	14248.46
462.395	14381.87
462.763	14838.27
463.131	14800.82
463.499	15418.73
463.867	15369.57
464.235	15512.35
464.602	16095.14
464.97	15996.84
465.338	16577.29
465.705	16614.74
466.073	16474.31
466.44	16752.83
466.808	16722.4
467.175	17143.7
467.542	17092.21
467.91	17316.9
468.277	17726.49
468.644	17806.07
469.011	17735.86
469.378	17583.72
469.745	17522.87
470.112	17824.8
470.479	17611.81
470.846	17675
471.213	17323.92
471.58	17747.56
471.947	17845.86
472.313	17492.44
472.68	17382.43
473.047	17426.91
473.413	17293.49
473.78	16860.5
474.146	17146.04
474.513	16755.17
474.879	16598.36
475.245	16457.92
475.612	16895.6
475.978	15989.82
476.344	15739.38
476.71	15486.6
477.076	16006.2
477.442	15280.63
477.808	15233.82
478.174	15053.6
478.54	14674.44
478.906	14615.92
479.272	14435.7
479.638	14304.63
480.003	13880.99
480.369	13532.25
480.734	13438.63
481.1	13136.7
481.466	13342.67
481.831	12846.48
482.196	12605.4
482.562	12376.03
482.927	12343.26
483.292	11720.68
483.658	11950.05
484.023	11575.57
484.388	11540.46
484.753	11430.45
485.118	11170.65
485.483	10751.7
485.848	10732.97
486.213	10496.58
486.578	10402.96
486.942	10058.9
487.307	10115.07
487.672	10110.39
488.036	9810.8
488.401	9558.02
488.765	9464.4
489.13	9192.9
489.494	9251.41
489.859	8961.19
490.223	8755.22
490.587	8881.61
490.952	8511.8
491.316	8228.6
491.68	8340.95
492.044	8055.4
492.408	8109.23
492.772	8003.91
493.136	7950.08
493.5	7711.34
493.864	7891.56
494.228	7662.19
494.591	7631.76
494.955	7390.69
495.319	7444.52
495.682	7458.56
496.046	7404.73
496.409	7030.25
496.773	7203.45
497.136	7053.65
497.5	7046.63
497.863	6868.75
498.226	7018.54
498.589	6945.99
498.953	6782.15
499.316	6653.42
499.679	6817.26
500.042	6583.2
500.405	6672.14
500.768	6445.11
501.131	6433.41
501.494	6505.97
501.856	6538.73
502.219	6433.41
502.582	6356.17
502.944	6393.62
503.307	6433.41
503.669	6346.81
504.032	6356.17
504.394	6194.67
504.757	6185.31
505.119	6159.57
505.481	6208.72
505.844	6222.76
506.206	6213.4
506.568	6227.44
506.93	6363.19
507.292	6192.33
507.654	6129.14
508.016	6236.8
508.378	6229.78
508.74	6199.36
509.102	6211.06
509.463	6264.89
509.825	6164.25
510.187	6079.99
510.548	6061.26
510.91	6271.91
511.272	6033.18
511.633	6182.97
511.994	6061.26
512.356	6122.12
512.717	6115.1
513.078	6211.06
513.44	6037.86
513.801	6126.8
514.162	6274.25
514.523	6136.16
514.884	6276.59
515.245	6344.47
515.606	6356.17
515.967	6234.46
516.328	6351.49
516.688	6309.36
517.049	6189.99
517.41	6227.44
517.77	6414.68
518.131	6314.04
518.491	6330.43
518.852	6346.81
519.212	6332.77
519.573	6407.66
519.933	6384.26
520.293	6412.34
520.654	6442.77
521.014	6463.84
521.374	6613.63
521.734	6676.82
522.094	6601.93
522.454	6627.67
522.814	6576.18
523.174	6740.02
523.534	6637.04
523.894	6899.18
524.253	6784.49
524.613	6782.15
524.973	6887.47
525.332	6835.98
525.692	6840.66
526.051	7163.66
526.411	6819.6
526.77	6924.92
527.13	6922.58
527.489	6938.96
527.848	7128.55
528.207	7095.78
528.567	7584.95
528.926	7114.5
529.285	7226.85
529.644	7081.74
530.003	7182.38
530.362	7198.76
530.72	7257.28
531.079	7196.42
531.438	7381.33
531.797	7292.39
532.155	7360.26
532.514	7189.4
532.873	7528.78
533.231	7488.99
533.59	7477.29
533.948	7526.44
534.306	7603.68
534.665	7587.29
535.023	7556.87
535.381	7481.97
535.739	7683.25
536.097	7844.75
536.456	7662.19
536.814	7648.15
537.172	7849.43
537.529	7865.82
537.887	7683.25
538.245	7793.26
538.603	7800.28
538.961	7751.13
539.318	7919.65
539.676	7814.32
540.034	7863.48
540.391	7769.85
540.749	7833.05
541.106	7861.14
541.463	7940.71
541.821	8010.93
542.178	7982.84
542.535	7992.21
542.892	7954.76
543.25	8205.19
543.607	7889.22
543.964	8179.45
544.321	8062.42
544.678	8015.61
545.035	8134.98
545.391	8071.78
545.748	8137.32
546.105	8167.75
546.462	8092.85
546.818	8174.77
547.175	8022.63
547.531	8060.08
547.888	8186.47
548.244	8177.11
548.601	8383.08
548.957	8305.84
549.313	8085.83
549.67	8280.09
550.026	8270.73
550.382	8284.77
550.738	8523.51
551.094	8535.21
551.45	8336.26
551.806	8317.54
552.162	8371.37
552.518	8462.65
552.874	8464.99
553.229	8364.35
553.585	8448.61
553.941	8453.29
554.296	8362.01
554.652	8429.89
555.007	8397.12
555.363	8397.12
555.718	8502.44
556.074	8603.09
556.429	8472.02
556.784	8558.62
557.139	8497.76
557.495	8486.06
557.85	8539.89
558.205	8614.79
558.56	8645.22
558.915	8628.83
559.27	8771.6
559.624	8776.29
559.979	8743.52
560.334	8575
560.689	8624.15
561.043	8717.77
561.398	8780.97
561.753	8956.51
562.107	8802.03
562.462	8851.18
562.816	8916.72
563.17	8975.23
563.525	8858.2
563.879	8869.91
564.233	8944.8
564.587	8841.82
564.941	9120.34
565.295	9155.45
565.649	9085.24
566.003	9005.66
566.357	8972.89
566.711	9239.71
567.065	9078.21
567.419	9197.58
567.773	9073.53
568.126	9141.41
568.48	9326.31
568.833	9218.65
569.187	9347.38
569.54	9155.45
569.894	9366.1
570.247	9202.26
570.6	9330.99
570.954	9464.4
571.307	9298.22
571.66	9422.27
572.013	9480.79
572.366	9307.59
572.719	9382.48
573.072	9455.04
573.425	9515.89
573.778	9508.87
574.131	9735.9
574.484	9464.4
574.836	9672.71
575.189	9553.34
575.542	9649.3
575.894	9480.79
576.247	9710.16
576.599	9782.72
576.952	9581.43
577.304	9639.94
577.656	9536.96
578.009	9829.53
578.361	9728.88
578.713	9773.35
579.065	9733.56
579.417	9639.94
579.769	9859.95
580.121	9937.19
580.473	9822.5
580.825	9775.69
581.177	9766.33
581.528	9876.34
581.88	9918.47
582.232	9745.27
582.584	9820.16
582.935	9810.8
583.287	9635.26
583.638	9670.37
583.989	9850.59
584.341	9653.99
584.692	9733.56
585.043	9726.54
585.395	9831.87
585.746	9782.72
586.097	9642.28
586.448	9728.88
586.799	9756.97
587.15	9567.39
587.501	9902.08
587.852	9527.6
588.203	9885.7
588.553	9862.29
588.904	9934.85
589.255	9845.91
589.605	9794.42
589.956	9527.6
590.306	9731.22
590.657	9632.92
591.007	9621.22
591.358	9862.29
591.708	9593.13
592.058	9628.24
592.408	9710.16
592.759	9686.75
593.109	9843.57
593.459	9569.73
593.809	9525.26
594.159	9656.33
594.509	9761.65
594.859	9656.33
595.208	9604.83
595.558	9576.75
595.908	9534.62
596.258	9611.86
596.607	9614.2
596.957	9625.9
597.306	9522.92
597.656	9464.4
598.005	9274.82
598.354	9433.98
598.704	9553.34
599.053	9534.62
599.402	9700.8
599.751	9639.94
600.1	9251.41
600.45	9487.81
600.799	9618.88
601.148	9572.07
601.496	9424.61
601.845	9412.91
602.194	9408.23
602.543	9506.53
602.892	9501.85
603.24	9363.76
603.589	9721.86
603.937	9476.11
604.286	9394.19
604.634	9410.57
604.983	9267.8
605.331	9384.82
605.679	9417.59
606.028	9586.11
606.376	9642.28
606.724	9668.03
607.072	9445.68
607.42	9565.05
607.768	9335.67
608.116	9438.66
608.464	9462.06
608.812	9653.99
609.16	9508.87
609.507	9515.89
609.855	9370.78
610.203	9480.79
610.55	9455.04
610.898	9349.72
611.245	9469.08
611.593	9621.22
611.94	9551
612.288	9532.28
612.635	9368.44
612.982	9366.1
613.329	9508.87
613.676	9646.96
614.024	9632.92
614.371	9625.9
614.718	9506.53
615.064	9476.11
615.411	9398.87
615.758	9508.87
616.105	9572.07
616.452	9534.62
616.798	9445.68
617.145	9508.87
617.492	9480.79
617.838	9497.17
618.185	9642.28
618.531	9429.29
618.877	9387.16
619.224	9532.28
619.57	9623.56
619.916	9382.48
620.263	9309.93
620.609	9401.21
620.955	9249.07
621.301	9349.72
621.647	9277.16
621.993	9370.78
622.339	9431.64
622.684	9340.35
623.03	9480.79
623.376	9443.34
623.722	9485.47
624.067	9258.44
624.413	9494.83
624.758	9359.08
625.104	9330.99
625.449	9323.97
625.795	9213.97
626.14	9258.44
626.485	9415.25
626.83	9396.53
627.175	9096.94
627.521	9230.35
627.866	9232.69
628.211	9171.84
628.556	9059.49
628.901	9125.02
629.245	9228.01
629.59	9300.57
629.935	9181.2
630.28	9026.72
630.624	9026.72
630.969	9096.94
631.314	8874.59
631.658	9026.72
632.002	8818.41
632.347	8855.86
632.691	8867.57
633.036	9040.77
633.38	8771.6
633.724	8839.48
634.068	8830.12
634.412	8818.41
634.756	8773.94
635.1	8708.41
635.444	8743.52
635.788	8701.39
636.132	8558.62
636.476	8621.81
636.82	8514.15
637.163	8488.4
637.507	8542.23
637.85	8593.72
638.194	8605.43
638.537	8401.8
638.881	8507.12
639.224	8607.77
639.568	8408.82
639.911	8214.56
640.254	8364.35
640.597	8184.13
640.94	8186.47
641.284	8111.57
641.627	8219.24
641.97	8345.63
642.312	8092.85
642.655	8111.57
642.998	8177.11
643.341	8024.97
643.684	8017.95
644.026	7999.23
644.369	7914.97
644.712	7760.49
645.054	7919.65
645.396	7741.77
645.739	7797.94
646.081	7933.69
646.424	7931.35
646.766	7921.99
647.108	7781.56
647.45	7720.7
647.792	7699.64
648.134	7774.54
648.476	7699.64
648.818	7680.91
649.16	7617.72
649.502	7549.84
649.844	7577.93
650.186	7591.97
650.527	7643.47
650.869	7613.04
651.211	7465.59
651.552	7493.67
651.894	7416.43
652.235	7442.18
652.576	7320.47
652.918	7254.94
653.259	7250.26
653.6	7208.13
653.942	7233.87
654.283	7205.79
654.624	7369.62
654.965	7357.92
655.306	7144.93
655.647	7341.54
655.988	7177.7
656.328	7044.29
656.669	7121.53
657.01	7212.81
657.351	7137.91
657.691	7322.81
658.032	6931.94
658.372	6864.07
658.713	7039.61
659.053	6838.32
659.394	7053.65
659.734	6983.43
660.074	6908.54
660.414	6924.92
660.755	6983.43
661.095	6707.25
661.435	6845.34
661.775	6943.65
662.115	6878.11
662.455	6817.26
662.794	6824.28
663.134	6754.06
