# Time (s),Aspirin Concentration (M),Acetic Acid Concentration (M)
0.000000000000000000e+00,5.550000000000000246e-03,0.000000000000000000e+00
2.000000000000000000e+00,5.510000000000000141e-03,4.000000000000000327e-05
5.000000000000000000e+00,5.449999999999999983e-03,1.000000000000000048e-04
1.000000000000000000e+01,5.349999999999999721e-03,2.000000000000000096e-04
2.000000000000000000e+01,5.150000000000000064e-03,4.000000000000000192e-04
3.000000000000000000e+01,4.959999999999999999e-03,5.900000000000000296e-04
4.000000000000000000e+01,4.780000000000000394e-03,7.699999999999999597e-04
5.000000000000000000e+01,4.610000000000000382e-03,9.399999999999999719e-04
1.000000000000000000e+02,3.830000000000000071e-03,1.719999999999999958e-03
2.000000000000000000e+02,2.639999999999999986e-03,2.909999999999999826e-03
3.000000000000000000e+02,1.820000000000000003e-03,3.729999999999999809e-03
4.000000000000000000e+02,1.270000000000000000e-03,4.369999999999999809e-03
5.000000000000000000e+02,8.840000000000000000e-04,4.895999999999999809e-03
6.000000000000000000e+02,6.030000000000000000e-04,5.289999999999999809e-03
7.000000000000000000e+02,4.300000000000000000e-04,5.616999999999999809e-03
1.000000000000000000e+03,1.300000000000000000e-04,6.029999999999999809e-03
